raw_offset,rva,slot,budget,src_len,target_len,fits,src,target,context,note
0x4874A4,0x4880A4,8,7,5,6,True,"Close","ﻍﺇ","bottom-right button","slot 8, budget 7; Arabic-B logical='إغ'"
0x488B98,0x489798,16,15,8,9,True,"Defaults","ﻂﺒﺿ","bottom-left button","budget 15 ok; Arabic-B logical='ضبط'"
0x499104,0x499D04,8,7,5,3,True,"Basic","ﻉ","Basic tab","already done via PAK? keep anyway; Arabic-B logical='ع'"
0x4991A0,0x499DA0,16,15,13,15,True,"Shortcut Menu","ﺔﻤﺋﺎﻗ","Basic/Shortcut","budget 15; Arabic-B logical='قائمة'"
0x499144,0x499D44,12,11,4,9,True,"Hide","ﻒﺧﺇ","Basic/Shortcut value","budget 11; Arabic-B logical='إخف'"
0x499150,0x499D50,8,7,7,7,True,"Display","Display","Basic/Shortcut value","budget 7exact; unchanged in Arabic-B"
0x499208,0x499E08,8,7,4,6,True,"Skip","ﺦﺗ","Basic/Skip","budget 7; Arabic-B logical='تخ'"
0x4991B0,0x499DB0,24,23,20,15,True,"Previously Read Only","ﺀﻭﺮﻘﻣ","Basic/Skip value","budget 23; Arabic-B logical='مقروء'"
0x499248,0x499E48,24,23,19,12,True,"Position of Choices","ﻥﺎﻜﻣ","Basic/Position","19B, budget 23 ok; Arabic-B logical='مكان'"
0x499230,0x499E30,8,7,6,6,True,"Bottom","ﺱﺃ","Basic/Position value","budget 7; Arabic-B logical='أس'"
0x499238,0x499E38,8,7,6,6,True,"Center","ﺱﻭ","Basic/Position value","budget 7; Arabic-B logical='وس'"
0x499320,0x499F20,8,7,5,6,True,"Voice","ﺖﺻ","Basic/Voice","budget 7; Arabic-B logical='صت'"
0x4992D0,0x499ED0,24,23,19,6,True,"Stop on New Message","ﻒﻗ","Basic/Voice value","budget 23; Arabic-B logical='قف'"
0x4992E8,0x499EE8,24,23,20,19,True,"      No Stops      ","ﻒﻗﻮﺗ ﺎﻟ","Basic/Voice value","keep spaces for alignment, budget 23; Arabic-B logical='لا توقف'"
0x499398,0x499F98,16,15,12,15,True,"Display Date","ﺦﻳﺭﺎﺗ","Basic/Date","13B, budget 15; Arabic-B logical='تاريخ'"
0x499450,0x49A050,24,23,23,18,True,"Initial Cursor Position","ﺮﺷﺆﻤﻟﺍ","Basic/Cursor","20B, budget 23; Arabic-B logical='المؤشر'"
0x4993A8,0x499FA8,24,23,23,9,True,"Positioned at ❝Yes❞","ﻢﻌﻧ","Basic/Cursor value","Keep stylish chevrons if fits; budget 23; Arabic-B logical='نعم'"
0x499420,0x49A020,24,23,22,6,True,"Positioned at ❝No❞","ﺎﻟ","Basic/Cursor value","budget 23; Arabic-B logical='لا'"
0x499490,0x49A090,28,27,26,18,True,"Controller Rumble Function","ﺯﺍﺰﺘﻫﺍ","Basic/Rumble","17B, budget 27; Arabic-B logical='اهتزاز'"
