raw_offset,rva,slot,budget,src_len,target_len,fits,src,target,context,note
0x487448,0x488048,16,15,9,2,True,"日本語","AR","Language switcher JP slot","Arabic label for Japanese slot; ASCII fallback for menu font-size test; Arabic-B logical='عربي'"
0x487470,0x488070,8,7,6,3,True,"はい","ﻥ","Global dialog yes","Short yes because slot budget is 7 bytes; Arabic-B logical='ن'"
0x487480,0x488080,12,11,9,6,True,"いいえ","ﺎﻟ","Global dialog no","Japanese slot; Arabic-B logical='لا'"
0x487498,0x488098,12,11,9,6,True,"閉じる","ﻍﺇ","Close button","Japanese slot; Arabic-B logical='إغ'"
0x488AC8,0x4896C8,8,7,6,6,True,"戻る","ﺝﺭ","Back button","Japanese slot; Arabic-B logical='رج'"
0x488B20,0x489720,12,11,8,9,True," 削除 ","ﻑﺬﺣ","Delete button","Japanese slot; Arabic-B logical='حذف'"
0x488B48,0x489748,12,11,9,9,True,"最新へ","ﺮﺧﺁ","Latest button","Japanese slot; Arabic-B logical='آخر'"
0x488B80,0x489780,24,23,21,9,True,"初期設定に戻す","ﻂﺒﺿ","Defaults button","Japanese slot; Arabic-B logical='ضبط'"
0x488C08,0x489808,24,23,18,15,True,"基本操作説明","ﺮﻣﺍﻭﺃ","Controls page","Japanese slot; Arabic-B logical='أوامر'"
0x488C48,0x489848,32,31,24,12,True,"切り替え言語一覧","ﺕﺎﻐﻟ","Languages page","Japanese slot; Arabic-B logical='لغات'"
0x488C90,0x489890,16,15,15,9,True,"ボイス再生","ﺕﻮﺻ","Play voice","Japanese slot; Arabic-B logical='صوت'"
0x488CC8,0x4898C8,16,15,12,9,True,"ジャンプ","ﺰﻔﻗ","Jump command","Japanese slot; Arabic-B logical='قفز'"
0x488CE8,0x4898E8,32,31,27,15,True,"ボイスコレクション","ﺕﺍﻮﺻﺃ","Voice collection","Japanese slot; Arabic-B logical='أصوات'"
0x488D20,0x489920,16,15,9,9,True,"BGM変更","ﻦﺤﻟ","BGM select","Japanese slot; Arabic-B logical='لحن'"
0x488D50,0x489950,12,11,9,9,True,"初期化","ﻂﺒﺿ","Reset","Japanese slot; Arabic-B logical='ضبط'"
0x488D68,0x489968,24,23,21,9,True,"メッセージログ","ﻞﺠﺳ","Message log","Japanese slot; Arabic-B logical='سجل'"
0x488D8C,0x48998C,12,11,6,9,True,"削除","ﻑﺬﺣ","Delete","Japanese slot; Arabic-B logical='حذف'"
0x488D98,0x489998,24,23,21,15,True,"プレイリストへ","ﺔﻤﺋﺎﻗ","To playlist","Japanese slot; Arabic-B logical='قائمة'"
0x488DC0,0x4899C0,24,23,18,15,True,"ボイス一覧へ","ﺕﺍﻮﺻﺃ","To voice list","Japanese slot; Arabic-B logical='أصوات'"
0x488DF0,0x4899F0,16,15,12,15,True,"連続再生","ﻞﻴﻐﺸﺗ","Continuous play","Japanese slot; Arabic-B logical='تشغيل'"
0x488E10,0x489A10,12,11,9,9,True,"BGM選択","ﻦﺤﻟ","BGM select","Japanese slot; Arabic-B logical='لحن'"
0x488E1C,0x489A1C,8,7,6,6,True,"編集","ﺮﺣ","Edit","Japanese slot; Arabic-B logical='حر'"
0x488E30,0x489A30,24,23,21,9,True,"プレビュー表示","ﺽﺮﻋ","Show preview","Japanese slot; Arabic-B logical='عرض'"
0x488E58,0x489A58,32,31,24,15,True,"プレビュー非表示","ﺀﺎﻔﺧﺇ","Hide preview","Japanese slot; Arabic-B logical='إخفاء'"
0x488E88,0x489A88,32,31,27,31,True,"【長押し】連続再生","ﺮﻤﺘﺴﻣ ﻞﻴﻐﺸﺗ","Hold continuous play","Japanese slot; Arabic-B logical='تشغيل مستمر'"
