raw_offset,rva,slot,budget,src_len,target_len,fits,src,target,context,note
0x40F9B8,0x410DB8,8,7,7,2,True,"English","FR","Language switcher","budget 7 hard cap"
0x40F9D8,0x410DD8,4,3,3,3,True,"Yes","Oui","Global dialog button","budget 3 exact fit"
0x40F9EC,0x410DEC,4,3,2,3,True,"No","Non","Global dialog button","budget 3 exact fit"
0x40F9F4,0x410DF4,8,7,5,6,True,"Close","Fermer","Global close button","budget 7"
0x4103E0,0x4117E0,32,31,30,26,True,"Do you wish to load this save?","Charger cette sauvegarde ?","Save/Load prompt","budget 31"
0x4105B0,0x4119B0,24,23,20,13,True,"Do you wish to save?","Sauvegarder ?","Save prompt","budget 23"
0x4105F8,0x4119F8,48,47,40,26,True,"Are you sure you wish to overwrite data?","Ecraser cette sauvegarde ?","Save/Load prompt","budget 47"
0x4107E8,0x411BE8,16,15,15,13,True,"Save completed.","Sauvegarde OK","Save confirmation","budget 15"
0x410820,0x411C20,48,47,47,28,True,"Are you sure you wish to delete this save data?","Supprimer cette sauvegarde ?","Save delete prompt","budget 47"
0x410880,0x411C80,24,23,23,23,True,"This cannot be deleted.","Suppression impossible.","Save delete error","budget 23"
0x4108D0,0x411CD0,24,23,19,16,True,"Return to the menu?","Retour au menu ?","Menu return prompt","budget 23"
0x410928,0x411D28,32,31,27,24,True,"Return to the title screen?","Retour a l'ecran titre ?","Title return prompt","budget 31"
0x411058,0x412458,8,7,6,6,True,"Delete","Suppr.","Save menu button","budget 7"
0x411074,0x412474,12,11,6,7,True,"Latest","Dernier","Save menu button","budget 11"
0x4110B8,0x4124B8,16,15,8,7,True,"Defaults","Defauts","Defaults button","budget 15"
0x4113F0,0x4127F0,16,15,13,13,True,"Text preview.","Apercu texte.","Text preview label","budget 15"
0x411508,0x412908,48,47,42,37,True,"Settings such as text speed are reflected.","Les reglages de texte sont appliques.","Text preview tooltip","budget 47"
0x4386A0,0x439AA0,72,71,68,48,True,"$A1There is unsaved data.
$A1Are you sure you wish to quit the game?","$A1Donnees non sauvegardees.
$A1Quitter le jeu ?","Quit prompt (unsaved)","budget 71, keep $A1 tags"
0x438748,0x439B48,40,39,39,16,True,"Are you sure you wish to quit the game?","Quitter le jeu ?","Quit prompt (saved)","budget 39"
0x43EC60,0x440060,16,15,10,9,True,"Game Ver. ","Ver. jeu ","System/info","budget 15"
0x43EC88,0x440088,24,23,20,17,True,"Previously Read Only","Deja lu seulement","Basic/Skip value","budget 23"
0x43ECE0,0x4400E0,8,7,4,4,True,"Skip","Saut","Basic/Skip","budget 7"
0x43ED58,0x440158,24,23,19,19,True,"Stop on New Message","Stop au nouveau msg","Basic/Voice value","budget 23"
0x43ED70,0x440170,24,23,20,20,True,"      No Stops      ","     Sans arret     ","Basic/Voice value","keep spaces for alignment, budget 23"
0x43EDA8,0x4401A8,8,7,5,4,True,"Voice","Voix","Basic/Voice","budget 7"
0x43EDD0,0x4401D0,24,23,23,19,True,"Positioned at ❝Yes❞","Place sur ❝Oui❞","Basic/Cursor value","budget 23"
0x43EE48,0x440248,24,23,22,19,True,"Positioned at ❝No❞","Place sur ❝Non❞","Basic/Cursor value","budget 23"
0x43EE78,0x440278,24,23,23,17,True,"Initial cursor position","Position initiale","Basic/Cursor","LOOPERS uses lowercase cursor, budget 23"
0x43EE98,0x440298,8,7,7,5,True,"Disable","Arret","Basic/Rumble value","budget 7"
0x43EEB8,0x4402B8,28,27,26,17,True,"Controller Rumble Function","Vibration manette","Basic/Rumble","budget 27"
